"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"cxlcft","brazil_ar","Leite Derramado","Q6520356","ar","brazil","1","تعيش المجتمعات في حالة سيطرة من التشاؤم والفساد.","""Societies live in a state of control by pessimism and corruption."""
"bwuouj","brazil_ar","Leite Derramado","Q6520356","ar","brazil","2","الفساد بجميع أشكاله يمكن أن يؤدي إلى تغييرات جذرية في المجتمع ويؤثر على حياة الأجيال القادمة من خلال التمييز العنصري والسلطة التي تخفي وراءها الفساد والخداع.","Corruption in all its forms can lead to radical changes in society and affect the lives of future generations through racial discrimination and the power that hides behind it corruption and deceit."
"jbipks","brazil_ar","Leite Derramado","Q6520356","ar","brazil","3","عدم إدراك الأخطاء والهفوات حتى آخر العمر مأساة كبرى.","""Not realizing mistakes and lapses until the end of life is a great tragedy."""
"yxbziz","brazil_cs","Leite Derramado","Q6520356","cs","brazil","1","Předsudky a žárlivost ničí lidské životy.","Prejudices and jealousy destroy human lives."
"cxqxhh","brazil_cs","Leite Derramado","Q6520356","cs","brazil","2","Nedostatek porozumění a empatie vede k litování minulosti, kterou již nelze změnit.","A lack of understanding and empathy leads to regretting the past, which can no longer be changed."
"gwfddu","brazil_cs","Leite Derramado","Q6520356","cs","brazil","3","Ať se snažíme sebevíc, důsledkům vlastních činů a změnám okolo nás neunikneme, i když si to sami sobě nejsme schopni připustit.","No matter how hard we try, we cannot escape the consequences of our own actions and the changes around us, even if we are unable to admit it to ourselves."
"ruvxdo","brazil_de","Leite Derramado","Q6520356","de","brazil","1","Unglückliche Liebe führt zu einem unglücklichen Leben.","Unhappy love leads to an unhappy life."
"piefso","brazil_de","Leite Derramado","Q6520356","de","brazil","2","Realitäten zu akzeptieren, macht ein glücklicheres Leben.","Accepting realities leads to a happier life."
"gwnpbp","brazil_de","Leite Derramado","Q6520356","de","brazil","3","Man sollte schätzen, was man hat, weil man nicht weiß, wie lange es einem noch erhalten bleiben wird.","One should appreciate what one has because one does not know how long it will remain."
"zqwmum","brazil_en","Leite Derramado","Q6520356","en","brazil","1","Memories can become like ghosts that haunt your mind.","Memories can become like ghosts that haunt your mind."
"olbwja","brazil_en","Leite Derramado","Q6520356","en","brazil","2","Greed prevents a person from being truly rich.","Greed prevents a person from being truly rich."
"ukzcyp","brazil_en","Leite Derramado","Q6520356","en","brazil","3","Embrace each moment and keep growing as time and progress wait for no one.","Embrace each moment and keep growing as time and progress wait for no one."
